District,Date,Temperature (°C),Rainfall (mm),Growth Rate (%),Location Quality
Karachi,2023-12-01,34.9,4.8,4.63,Poor
Karachi,2023-12-02,21.4,4.3,1.35,Average
Karachi,2023-12-03,18.4,6.8,2.1,Average
Karachi,2023-12-04,31.9,18.8,4.59,Average
Karachi,2023-12-05,25.5,11.6,4.6,Average
Karachi,2023-12-06,29.1,12.5,2.88,Average
Karachi,2023-12-07,32.9,7.0,2.08,Poor
Karachi,2023-12-08,25.4,16.3,1.93,Good
Karachi,2023-12-09,19.5,10.3,2.77,Poor
Karachi,2023-12-10,30.0,12.4,2.45,Average
Karachi,2023-12-11,24.4,15.5,4.11,Average
Karachi,2023-12-12,31.0,7.4,3.76,Poor
Karachi,2023-12-13,29.8,2.5,4.1,Good
Karachi,2023-12-14,23.3,12.4,3.51,Good
Karachi,2023-12-15,16.7,18.1,1.89,Poor
Karachi,2023-12-16,31.0,2.0,1.84,Poor
Karachi,2023-12-17,15.9,15.7,1.16,Average
Karachi,2023-12-18,32.7,18.0,1.34,Good
Karachi,2023-12-19,29.4,6.3,4.47,Good
Karachi,2023-12-20,29.2,6.8,1.21,Good
Karachi,2023-12-21,23.3,10.8,4.65,Good
Karachi,2023-12-22,23.1,3.4,2.35,Average
Karachi,2023-12-23,28.3,0.6,2.8,Poor
Karachi,2023-12-24,28.1,14.7,3.8,Poor
Karachi,2023-12-25,33.9,11.1,2.25,Poor
Karachi,2023-12-26,26.6,8.3,2.98,Average
Karachi,2023-12-27,29.9,8.7,3.54,Poor
Karachi,2023-12-28,33.5,4.8,2.74,Good
Karachi,2023-12-29,33.4,6.9,1.76,Poor
Karachi,2023-12-30,24.6,6.3,2.47,Good
Karachi,2023-12-31,28.6,8.3,1.38,Poor
Lahore,2023-12-01,22.1,10.2,2.47,Poor
Lahore,2023-12-02,21.1,11.0,3.34,Poor
Lahore,2023-12-03,25.2,17.9,2.37,Average
Lahore,2023-12-04,20.7,5.0,4.18,Average
Lahore,2023-12-05,26.2,6.0,2.79,Good
Lahore,2023-12-06,18.2,8.5,4.3,Good
Lahore,2023-12-07,23.1,9.8,4.32,Poor
Lahore,2023-12-08,19.3,5.2,1.26,Poor
Lahore,2023-12-09,21.9,0.0,1.95,Poor
Lahore,2023-12-10,32.9,9.6,4.19,Average
Lahore,2023-12-11,15.7,12.0,2.69,Good
Lahore,2023-12-12,21.9,10.7,1.54,Average
Lahore,2023-12-13,32.7,9.1,4.11,Average
Lahore,2023-12-14,33.5,8.1,1.43,Average
Lahore,2023-12-15,31.9,3.3,1.54,Good
Lahore,2023-12-16,18.9,0.3,3.73,Poor
Lahore,2023-12-17,25.0,11.8,1.23,Poor
Lahore,2023-12-18,20.4,5.5,3.58,Good
Lahore,2023-12-19,34.8,8.1,3.86,Good
Lahore,2023-12-20,23.5,14.2,3.45,Average
Lahore,2023-12-21,34.3,6.4,3.11,Poor
Lahore,2023-12-22,17.5,11.5,4.95,Average
Lahore,2023-12-23,26.7,16.7,3.29,Average
Lahore,2023-12-24,29.4,17.1,3.61,Poor
Lahore,2023-12-25,23.6,10.6,3.74,Average
Lahore,2023-12-26,27.4,9.7,4.4,Average
Lahore,2023-12-27,29.5,4.3,2.21,Average
Lahore,2023-12-28,32.8,5.6,4.71,Good
Lahore,2023-12-29,15.4,15.4,1.56,Poor
Lahore,2023-12-30,31.2,13.5,4.87,Poor
Lahore,2023-12-31,22.9,1.3,4.64,Average
Islamabad,2023-12-01,29.6,4.5,2.94,Average
Islamabad,2023-12-02,20.7,9.8,2.72,Poor
Islamabad,2023-12-03,28.8,14.1,1.91,Poor
Islamabad,2023-12-04,31.2,5.0,2.29,Poor
Islamabad,2023-12-05,29.8,17.1,3.51,Poor
Islamabad,2023-12-06,32.2,2.5,1.72,Good
Islamabad,2023-12-07,17.6,7.7,1.9,Good
Islamabad,2023-12-08,31.4,8.0,2.0,Good
Islamabad,2023-12-09,33.9,18.2,2.47,Good
Islamabad,2023-12-10,25.8,3.4,2.28,Good
Islamabad,2023-12-11,20.0,1.1,1.89,Poor
Islamabad,2023-12-12,27.6,9.0,2.96,Poor
Islamabad,2023-12-13,31.0,1.0,4.79,Good
Islamabad,2023-12-14,25.7,12.9,2.39,Good
Islamabad,2023-12-15,15.6,14.9,2.11,Average
Islamabad,2023-12-16,27.8,18.3,4.89,Poor
Islamabad,2023-12-17,31.5,15.7,1.08,Good
Islamabad,2023-12-18,27.1,8.5,2.35,Poor
Islamabad,2023-12-19,18.7,1.3,3.34,Good
Islamabad,2023-12-20,18.6,6.5,1.23,Poor
Islamabad,2023-12-21,22.7,7.1,4.0,Good
Islamabad,2023-12-22,30.2,12.1,3.95,Average
Islamabad,2023-12-23,29.6,14.6,4.87,Poor
Islamabad,2023-12-24,24.3,6.4,1.73,Poor
Islamabad,2023-12-25,30.2,12.4,2.86,Good
Islamabad,2023-12-26,18.5,3.9,2.25,Good
Islamabad,2023-12-27,19.5,3.3,1.56,Average
Islamabad,2023-12-28,33.8,1.2,2.62,Poor
Islamabad,2023-12-29,31.4,16.0,4.49,Average
Islamabad,2023-12-30,16.2,2.2,2.91,Good
Islamabad,2023-12-31,20.8,2.5,1.7,Poor
Peshawar,2023-12-01,22.4,19.3,3.89,Average
Peshawar,2023-12-02,25.6,11.0,2.68,Average
Peshawar,2023-12-03,31.0,11.1,3.09,Poor
Peshawar,2023-12-04,22.0,17.5,1.32,Poor
Peshawar,2023-12-05,19.1,6.7,4.09,Good
Peshawar,2023-12-06,34.6,13.6,1.4,Good
Peshawar,2023-12-07,24.9,3.7,1.26,Good
Peshawar,2023-12-08,16.9,18.3,2.09,Poor
Peshawar,2023-12-09,18.0,11.5,3.15,Good
Peshawar,2023-12-10,18.7,11.0,4.67,Average
Peshawar,2023-12-11,16.2,16.1,1.55,Average
Peshawar,2023-12-12,19.8,2.2,3.72,Good
Peshawar,2023-12-13,18.7,18.2,4.11,Good
Peshawar,2023-12-14,27.3,11.0,1.13,Poor
Peshawar,2023-12-15,24.6,18.5,1.74,Good
Peshawar,2023-12-16,24.8,1.5,4.78,Good
Peshawar,2023-12-17,24.5,9.0,1.49,Average
Peshawar,2023-12-18,32.6,14.9,2.1,Poor
Peshawar,2023-12-19,27.7,16.1,3.34,Good
Peshawar,2023-12-20,17.7,11.8,2.08,Average
Peshawar,2023-12-21,24.3,10.9,1.52,Poor
Peshawar,2023-12-22,20.1,16.5,2.92,Good
Peshawar,2023-12-23,34.7,8.1,2.09,Good
Peshawar,2023-12-24,33.9,8.5,4.07,Poor
Peshawar,2023-12-25,28.5,0.1,3.05,Average
Peshawar,2023-12-26,27.1,16.3,4.22,Poor
Peshawar,2023-12-27,29.4,5.6,4.94,Poor
Peshawar,2023-12-28,34.2,16.6,1.02,Poor
