District,Date,Temperature (°C),Rainfall (mm)
Karachi,2023-12-01,25.0,9.5
Karachi,2023-12-02,28.7,13.1
Karachi,2023-12-03,29.0,15.4
Karachi,2023-12-04,19.9,2.8
Karachi,2023-12-05,25.8,16.7
Karachi,2023-12-06,27.5,10.2
Karachi,2023-12-07,22.8,7.1
Karachi,2023-12-08,30.2,6.9
Karachi,2023-12-09,16.1,2.0
Karachi,2023-12-10,24.0,1.1
Karachi,2023-12-11,30.7,7.4
Karachi,2023-12-12,22.3,7.1
Karachi,2023-12-13,16.4,18.6
Karachi,2023-12-14,21.0,18.7
Karachi,2023-12-15,15.4,18.2
Karachi,2023-12-16,24.3,8.3
Karachi,2023-12-17,33.9,11.3
Karachi,2023-12-18,19.2,9.2
Karachi,2023-12-19,33.5,9.1
Karachi,2023-12-20,32.3,10.5
Karachi,2023-12-21,20.8,19.5
Karachi,2023-12-22,29.8,16.5
Karachi,2023-12-23,25.5,19.0
Karachi,2023-12-24,18.8,0.6
Karachi,2023-12-25,24.3,17.3
Karachi,2023-12-26,22.0,9.4
Karachi,2023-12-27,17.5,16.4
Karachi,2023-12-28,29.7,9.3
Karachi,2023-12-29,24.1,11.6
Karachi,2023-12-30,22.7,14.2
Karachi,2023-12-31,23.1,12.5
Lahore,2023-12-01,28.4,16.8
Lahore,2023-12-02,28.8,15.6
Lahore,2023-12-03,22.1,13.0
Lahore,2023-12-04,23.4,0.2
Lahore,2023-12-05,27.0,9.5
Lahore,2023-12-06,31.7,0.7
Lahore,2023-12-07,27.2,7.3
Lahore,2023-12-08,19.6,15.2
Lahore,2023-12-09,17.0,17.9
Lahore,2023-12-10,21.5,12.6
Lahore,2023-12-11,26.0,9.5
Lahore,2023-12-12,23.8,15.7
Lahore,2023-12-13,16.5,0.2
Lahore,2023-12-14,30.6,14.0
Lahore,2023-12-15,20.5,8.4
Lahore,2023-12-16,24.0,11.9
Lahore,2023-12-17,24.4,3.5
Lahore,2023-12-18,33.3,15.7
Lahore,2023-12-19,26.0,6.6
Lahore,2023-12-20,22.5,9.7
Lahore,2023-12-21,21.7,14.3
Lahore,2023-12-22,32.5,0.3
Lahore,2023-12-23,17.6,0.9
Lahore,2023-12-24,23.2,14.4
Lahore,2023-12-25,20.8,6.9
Lahore,2023-12-26,15.1,2.9
Lahore,2023-12-27,33.2,11.7
Lahore,2023-12-28,28.0,9.9
Lahore,2023-12-29,25.1,1.3
Lahore,2023-12-30,34.0,3.9
Lahore,2023-12-31,19.7,2.8
Islamabad,2023-12-01,33.3,12.3
Islamabad,2023-12-02,19.9,16.0
Islamabad,2023-12-03,19.9,0.5
Islamabad,2023-12-04,27.3,5.4
Islamabad,2023-12-05,33.0,6.9
Islamabad,2023-12-06,30.8,9.0
Islamabad,2023-12-07,28.6,10.9
Islamabad,2023-12-08,16.7,2.2
Islamabad,2023-12-09,31.6,9.9
Islamabad,2023-12-10,31.7,13.4
Islamabad,2023-12-11,30.1,18.8
Islamabad,2023-12-12,31.0,11.6
Islamabad,2023-12-13,15.1,9.4
Islamabad,2023-12-14,28.0,9.9
Islamabad,2023-12-15,29.6,11.4
Islamabad,2023-12-16,31.1,12.8
Islamabad,2023-12-17,31.6,13.9
Islamabad,2023-12-18,16.2,16.8
Islamabad,2023-12-19,27.4,10.1
Islamabad,2023-12-20,20.6,2.6
Islamabad,2023-12-21,17.5,3.1
Islamabad,2023-12-22,30.0,13.8
Islamabad,2023-12-23,29.4,12.4
Islamabad,2023-12-24,21.2,6.9
Islamabad,2023-12-25,27.1,14.0
Islamabad,2023-12-26,22.2,12.0
Islamabad,2023-12-27,31.9,12.2
Islamabad,2023-12-28,25.6,3.3
Islamabad,2023-12-29,34.0,5.6
Islamabad,2023-12-30,27.0,3.3
Islamabad,2023-12-31,19.4,1.8
Peshawar,2023-12-01,33.5,11.5
Peshawar,2023-12-02,19.6,15.1
Peshawar,2023-12-03,24.3,3.7
Peshawar,2023-12-04,32.9,10.0
Peshawar,2023-12-05,27.5,14.9
Peshawar,2023-12-06,31.4,10.4
Peshawar,2023-12-07,23.3,11.8
Peshawar,2023-12-08,16.0,14.7
Peshawar,2023-12-09,34.7,15.9
Peshawar,2023-12-10,21.4,17.9
Peshawar,2023-12-11,27.9,7.8
Peshawar,2023-12-12,28.3,2.4
Peshawar,2023-12-13,19.6,8.4
Peshawar,2023-12-14,24.4,16.5
Peshawar,2023-12-15,27.1,11.4
Peshawar,2023-12-16,23.8,9.7
Peshawar,2023-12-17,34.7,11.6
Peshawar,2023-12-18,33.7,15.8
Peshawar,2023-12-19,30.8,1.0
Peshawar,2023-12-20,18.2,7.5
Peshawar,2023-12-21,26.2,4.4
Peshawar,2023-12-22,17.0,17.8
Peshawar,2023-12-23,30.4,15.6
Peshawar,2023-12-24,15.0,7.5
Peshawar,2023-12-25,24.6,9.1
Peshawar,2023-12-26,28.0,17.6
Peshawar,2023-12-27,22.8,6.2
Peshawar,2023-12-28,32.6,19.6
Peshawar,2023-12-29,24.8,16.6
Peshawar,2023-12-30,27.9,13.7
Peshawar,2023-12-31,18.5,13.3
Quetta,2023-12-01,21.0,2.2
Quetta,2023-12-02,20.7,12.7
Quetta,2023-12-03,22.7,10.4
Quetta,2023-12-04,25.8,9.8
Quetta,2023-12-05,21.1,16.7
Quetta,2023-12-06,22.1,11.7
Quetta,2023-12-07,29.7,2.3
Quetta,2023-12-08,15.2,1.8
Quetta,2023-12-09,25.1,12.5
Quetta,2023-12-10,22.5,17.3
Quetta,2023-12-11,22.7,18.8
Quetta,2023-12-12,16.0,0.2
Quetta,2023-12-13,23.6,14.3
Quetta,2023-12-14,21.4,0.4
Quetta,2023-12-15,21.2,1.9
Quetta,2023-12-16,21.8,17.2
Quetta,2023-12-17,17.7,5.2
Quetta,2023-12-18,27.1,7.5
Quetta,2023-12-19,34.1,16.9
Quetta,2023-12-20,31.4,12.6
Quetta,2023-12-21,18.3,4.8
Quetta,2023-12-22,17.6,2.9
Quetta,2023-12-23,21.1,12.8
Quetta,2023-12-24,18.1,3.0
Quetta,2023-12-25,33.9,15.5
Quetta,2023-12-26,25.1,10.2
Quetta,2023-12-27,24.3,1.0
Quetta,2023-12-28,33.5,18.3
Quetta,2023-12-29,20.5,3.5
Quetta,2023-12-30,28.7,17.2
Quetta,2023-12-31,17.9,8.9
