District,Date,Temperature (°C),Rainfall (mm),Growth Rate (%),Location Quality,Province,Latitude,Longitude,Average_Temperature_C,Total_Rainfall_mm,Economic_Growth_Rate_%,Agricultural_Growth_Rate_%,Voice_Datum
Karachi,12/1/2023,34.9,4.8,4.63,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/2/2023,21.4,4.3,1.35,Average,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/3/2023,18.4,6.8,2.1,Average,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/4/2023,31.9,18.8,4.59,Average,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/5/2023,25.5,11.6,4.6,Average,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/6/2023,29.1,12.5,2.88,Average,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/7/2023,32.9,7,2.08,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/8/2023,25.4,16.3,1.93,Good,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/9/2023,19.5,10.3,2.77,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/10/2023,30,12.4,2.45,Average,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/11/2023,24.4,15.5,4.11,Average,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/12/2023,31,7.4,3.76,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/13/2023,29.8,2.5,4.1,Good,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/14/2023,23.3,12.4,3.51,Good,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/15/2023,16.7,18.1,1.89,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/16/2023,31,2,1.84,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/17/2023,15.9,15.7,1.16,Average,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/18/2023,32.7,18,1.34,Good,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/19/2023,29.4,6.3,4.47,Good,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/20/2023,29.2,6.8,1.21,Good,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/21/2023,23.3,10.8,4.65,Good,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/22/2023,23.1,3.4,2.35,Average,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/23/2023,28.3,0.6,2.8,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/24/2023,28.1,14.7,3.8,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/25/2023,33.9,11.1,2.25,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/26/2023,26.6,8.3,2.98,Average,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/27/2023,29.9,8.7,3.54,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/28/2023,33.5,4.8,2.74,Good,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/29/2023,33.4,6.9,1.76,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/30/2023,24.6,6.3,2.47,Good,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Karachi,12/31/2023,28.6,8.3,1.38,Poor,Sindh,24.8607,67.0011,28.3,200,4.8,1.5,Description2
Lahore,12/1/2023,22.1,10.2,2.47,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/2/2023,21.1,11,3.34,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/3/2023,25.2,17.9,2.37,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/4/2023,20.7,5,4.18,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/5/2023,26.2,6,2.79,Good,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/6/2023,18.2,8.5,4.3,Good,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/7/2023,23.1,9.8,4.32,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/8/2023,19.3,5.2,1.26,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/9/2023,21.9,0,1.95,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/10/2023,32.9,9.6,4.19,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/11/2023,15.7,12,2.69,Good,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/12/2023,21.9,10.7,1.54,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/13/2023,32.7,9.1,4.11,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/14/2023,33.5,8.1,1.43,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/15/2023,31.9,3.3,1.54,Good,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
